,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Reading performance, by PISA cycle",,,,,,,,,,,,,,Change in reading performance between PISA 2018 and:,,,,,,,,,,,,"Average 3-year trend in reading performance1
across PISA assessments
(since 2000 or earliest assessment available)",,,Curvilinear trend in reading performance across PISA assessments2,,,
,PISA 2000,,PISA 2003,,PISA 2006,,PISA 2009,,PISA 2012,,PISA 2015,,PISA 2018,,"PISA 2000 
(PISA 2018 - PISA 2000)",,"PISA 2003
(PISA 2018 - PISA 2003)",,"PISA 2006
(PISA 2018 - PISA 2006)",,"PISA 2009
(PISA 2018 - PISA 2009)",,"PISA 2012 
(PISA 2018 - PISA 2012)",,"PISA 2015
(PISA 2018 - PISA 2015)",,,,,"Annual rate of change in 2018 
(linear term)",,Rate of acceleration or deceleration in performance (quadratic term),
,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Coef.,S.E.,p-value,Coef.,S.E.,Coef.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,528,"(3,5)",525,"(2,1)",513,"(2,1)",515,"(2,3)",512,"(1,6)",503,"(1,7)",503,"(1,6)",-26,"(5,6)",-23,"(8,2)",-10,"(5,9)",-12,"(4,5)",-9,"(4,4)",0,"(4,6)","-4,4","(1,3)","0,001 ","-1,0","(0,5)","0,0","(0,0)"
Austria,492,"(2,7)",491,"(3,8)",490,"(4,1)",m,m,490,"(2,8)",485,"(2,8)",484,"(2,7)",-8,"(5,6)",-6,"(9,0)",-6,"(7,2)",m,m,-5,"(5,4)",0,"(5,5)","-1,3","(2,0)","0,512 ","-0,8","(0,8)","0,0","(0,0)"
Belgium,507,"(3,6)",507,"(2,6)",501,"(3,0)",506,"(2,3)",509,"(2,3)",499,"(2,4)",493,"(2,3)",-14,"(5,9)",-14,"(8,5)",-8,"(6,5)",-13,"(4,8)",-16,"(4,9)",-6,"(5,2)","-1,8","(1,3)","0,172 ","-1,8","(0,6)","-0,1","(0,0)"
